epoch,trn_loss,val_loss,trn_logloss,val_logloss,lr
1,0.273271896982193,0.14559741167328025,0.3120474808248418,0.02168018245533074,0.0002
2,0.24315697528123856,0.12463808682145952,0.3151656011294741,0.02257302975969315,0.00019749279121818235
3,0.2291918504834175,0.13075524219606496,0.2673354347464908,0.03075268043112642,0.0001900968867902419
4,0.21834948418140412,0.12644830327245254,0.2517023762704727,0.023696068979887245,0.000178183148246803
5,0.22840349006652833,0.12950743244418614,0.2585630846633922,0.019652190794535947,0.00016234898018587337
6,0.2186977084159851,0.12724550700263132,0.2331399150146623,0.01793457166155422,0.00014338837391175582
7,0.21432227290868758,0.1262322117256213,0.2658489395945935,0.01900787792364595,0.00012225209339563145
8,0.21430095262527465,0.1244312207910079,0.23532221244846524,0.016588459114625642,0.0001
9,0.2157932477235794,0.1260678820972201,0.2568219921185018,0.016700037889522207,7.774790660436858e-05
10,0.21705281908512117,0.1265370409134068,0.2549378275332653,0.018375037671083453,5.6611626088244194e-05
11,0.21171333410739898,0.12647358262086217,0.2200068134018596,0.018241427128779644,3.7651019814126654e-05
12,0.21164060087203979,0.12565327143367333,0.25156850165891587,0.01836146357049326,2.181685175319702e-05
13,0.21091385637521745,0.12593965996292572,0.22538360578869623,0.017754461504455244,9.903113209758096e-06
14,0.20067954870462418,0.12529335067242006,0.2214422677345678,0.01790802703681215,2.5072087818176382e-06
15,0.2038865478873253,0.12524909139433993,0.24192433476660108,0.017838062096936863,1e-06
